primary_category,secondary_category,subcategory,localization,query,distance,min_price,max_price
elektronika,fotografia,obiektywy,,canon,,,1000
elektronika,fotografia,obiektywy,,sony,,,600
elektronika,fotografia,obiektywy,,sony,,,700
elektronika,fotografia,obiektywy,,sony,,,800
elektronika,fotografia,obiektywy,,sony,,,900
elektronika,fotografia,obiektywy,,sony,,,1000
elektronika,fotografia,obiektywy,,sony,,,1100
elektronika,fotografia,obiektywy,,sony,,,1200
elektronika,fotografia,obiektywy,,sony,,,1300
elektronika,fotografia,obiektywy,,sony,,,1400
elektronika,fotografia,obiektywy,,sony,,,1500
elektronika,fotografia,obiektywy,,sony,,,1540
